
Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Guess                           :      0.050u      0.017s      0.039w      5 calls
SAD Guess                           :      0.050u      0.017s      0.038w      1 calls
HF: Form G                          :      0.033u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.017u      0.000s      0.009w     48 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.009w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.250u      0.000s      0.136w     47 calls
HF: Form C                          :      0.033u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.267u      0.000s      0.184w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.044w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.017u      0.000s      0.033w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.050u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.117u      0.000s      0.075w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.036w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.022w      5 calls
DFH: initialize()                   :      0.133u      0.000s      0.071w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w     10 calls
| DFH: AO Construction              :      0.067u      0.000s      0.015w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.050u      0.017s      0.039w      5 calls
| SAD Guess                         :      0.050u      0.017s      0.038w      1 calls
HF: Form G                          :      0.033u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.017u      0.000s      0.009w     48 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.009w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.250u      0.000s      0.136w     47 calls
HF: Form C                          :      0.033u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.267u      0.000s      0.184w      5 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.044w      5 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.016w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.017u      0.000s      0.033w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.050u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.117u      0.000s      0.075w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.017w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:19:20 2026
Timers Off: Tue Mar 17 13:19:23 2026

Wall Time:        2.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.037w      5 calls
Libint2ERI::Libint2ERI              :      0.167u      0.017s      0.072w     35 calls
DFH: initialize()                   :      0.117u      0.017s      0.072w      5 calls
DFH: AO Construction                :      0.000u      0.000s      0.015w      5 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.040w      5 calls
SAD Guess                           :      0.050u      0.000s      0.038w      1 calls
HF: Form G                          :      0.017u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.017u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
